City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,codrington,-38.2667,141.9667,284.08,90,31,3.03,AU,1731349026
165,bechar,31.6167,-2.2167,292.6,34,0,2.18,DZ,1731349027
166,gambiran satu,-8.3939,114.1464,295.65,96,95,1.68,ID,1731349028
167,nar'yan-mar,67.6713,53.087,267.8,96,100,2.63,RU,1731349029
168,enumclaw,47.2043,-121.9915,283.16,91,100,4.92,US,1731349030
169,kapa'a,22.0752,-159.319,297.33,91,75,6.69,US,1731349031
170,ndele,8.4109,20.6473,299.3,55,93,0.61,CF,1731349032
171,whitehorse,60.7161,-135.0538,270.58,93,100,1.54,CA,1731349033
172,salekhard,66.53,66.6019,256.89,96,99,1.04,RU,1731349036
173,ebaye,8.7748,167.7392,301.16,78,0,2.57,MH,1731349037
174,iranshahr,27.2025,60.6848,296.85,24,6,2.02,IR,1731349038
175,bucerias,20.75,-105.3333,303.14,62,20,3.09,MX,1731349039
176,garachico,28.7781,-17.7646,296.75,73,0,4.63,ES,1731349040
177,atafu village,-8.5421,-172.5159,301.42,73,31,6.34,TK,1731349041
178,tangalle,6.024,80.7911,299.32,87,48,1.68,LK,1731349043
179,lompoc,34.6391,-120.4579,290.33,65,0,3.6,US,1731348785
180,chernyshevskiy,63.0128,112.4714,255.97,99,98,1.08,RU,1731349045
181,enewetak,11.3474,162.3373,301.27,79,39,7.9,MH,1731349046
182,vologda,59.2187,39.8886,271.71,86,44,2.31,RU,1731349047
183,tolanaro,-25.0319,46.9987,298.17,89,37,2.74,MG,1731349048
184,tazacorte,28.629,-17.9293,298.23,63,0,4.63,ES,1731349049
185,willowmore,-33.2926,23.4895,290.43,50,0,5.95,ZA,1731349050
186,olonkinbyen,70.9221,-8.7187,273.8,90,93,10.09,SJ,1731349051
187,motygino,58.1831,94.7592,264.96,93,100,0.99,RU,1731349052
188,timaru,-44.4,171.25,279.37,83,8,2.07,NZ,1731349054
189,hilton head island,32.2163,-80.7526,299.18,71,75,2.06,US,1731349056
190,coria,39.9879,-6.5377,287.96,62,0,2.74,ES,1731349057
191,chinde,26.8212,87.7095,292.25,74,0,2.43,NP,1731349058
192,kudahuvadhoo,2.6708,72.8944,300.65,77,100,4.84,MV,1731349059
193,fisterra,42.9049,-9.2629,289.42,77,3,8.27,ES,1731349060
194,melipilla,-33.7,-71.2167,301.57,12,0,4.87,CL,1731349061
195,as safirah,36.077,37.3725,291.23,41,18,2.56,SY,1731349063
196,sitka,57.0531,-135.33,281.09,71,75,2.06,US,1731349064
197,nova sintra,14.8667,-24.7167,299.99,73,0,8.15,CV,1731349065
198,freetown,8.484,-13.2299,301.37,76,45,3.36,SL,1731349066
199,olinda,-8.0089,-34.8553,302.0,65,40,4.63,BR,1731349067
200,vyazemskiy,47.5378,134.7525,272.7,48,100,1.16,RU,1731349068
201,utrik,11.2278,169.8474,301.55,77,70,6.65,MH,1731349069
202,orvieto,42.7195,12.1116,283.51,78,10,3.18,IT,1731349070
203,el abiodh sidi cheikh,32.893,0.5484,288.85,48,53,3.65,DZ,1731349072
204,inhambane,-23.865,35.3833,297.89,86,19,2.4,MZ,1731349073
205,mount gambier,-37.8333,140.7667,286.02,82,82,2.15,AU,1731349074
206,retreat,38.8245,-85.8533,289.81,57,0,1.79,US,1731349075
207,baotou,40.6522,109.8222,278.7,34,0,0.68,CN,1731349076
208,magadan,59.5667,150.8,260.24,74,100,5.02,RU,1731349077
209,roses,42.262,3.1769,289.9,61,2,4.92,ES,1731349078
210,berezovyy,51.6667,135.7,265.96,65,100,1.04,RU,1731349079
211,lib,8.3122,167.3766,301.25,77,74,4.33,MH,1731349082
212,greymouth,-42.4667,171.2,279.98,90,9,2.23,NZ,1731349083
213,mayqayyng,51.4625,75.7986,264.49,85,46,6.8,KZ,1731349084
214,alto barinas,8.5931,-70.2261,306.02,48,90,2.65,VE,1731349085
215,maceio,-9.6658,-35.7353,302.84,61,20,7.72,BR,1731349086
216,nadi,-17.8,177.4167,294.15,83,20,0.0,FJ,1731349087
217,mokhsogollokh,61.4681,128.9203,258.46,97,100,1.89,RU,1731349088
218,misratah,32.3754,15.0925,295.3,65,5,4.68,LY,1731349089
219,qaqortoq,60.7167,-46.0333,273.53,100,100,0.94,GL,1731349090
220,labytnangi,66.6572,66.4183,256.57,96,99,0.94,RU,1731349091
221,carnarvon,-24.8667,113.6333,293.61,72,9,10.92,AU,1731349093
222,nicoya,10.1483,-85.452,296.53,96,100,0.77,CR,1731349094
223,ar rass,25.8694,43.4973,298.6,27,2,3.88,SA,1731349095
224,karratha,-20.7377,116.8463,300.33,49,48,6.13,AU,1731349096
225,ongjin,37.9347,125.3619,285.92,65,100,3.37,KP,1731349098
226,kuala belait,4.5833,114.1833,298.66,88,91,0.88,BN,1731349099
227,crane,31.3974,-102.3501,294.65,26,29,2.41,US,1731349100
228,beloyarskiy,63.7119,66.6722,256.51,98,91,1.42,RU,1731349101
229,akobo,7.4344,3.9497,300.2,64,60,1.43,NG,1731349103
230,chiredzi,-21.05,31.6667,296.91,74,97,4.6,ZW,1731349104
231,tonsberg,59.2675,10.4076,277.74,99,100,3.09,NO,1731349105
232,galliano,29.4422,-90.2992,300.15,65,40,4.63,US,1731349106
233,nizhniy odes,63.6445,54.856,267.69,97,100,1.86,RU,1731349107
234,redwood city,37.4852,-122.2364,288.57,89,100,12.35,US,1731349023
235,pangody,65.85,74.4859,253.7,93,97,6.09,RU,1731349109
236,wilmington island,32.0036,-80.9737,299.2,77,100,0.0,US,1731349110
237,weno,7.4515,151.8468,301.12,89,100,0.0,FM,1731349111
238,gustavsberg,59.3268,18.3898,278.25,93,100,2.43,SE,1731349113
239,constantia,44.1833,28.65,277.53,76,100,6.63,RO,1731349114
240,gadzhiyevo,69.2551,33.3362,276.03,78,100,6.89,RU,1731349115
241,ust-tsilma,65.441,52.1498,270.3,97,100,1.79,RU,1731349116
242,ladario,-19.0047,-57.6017,313.2,52,40,7.2,BR,1731349117
243,tupelo,34.2576,-88.7034,295.99,68,0,2.06,US,1731349119
244,brotton,54.5689,-0.9365,281.99,84,31,2.24,GB,1731349120
245,peterhead,57.5058,-1.7981,283.12,70,80,5.96,GB,1731349121
246,slaton,33.4373,-101.6435,292.31,33,64,2.31,US,1731349123
247,touros,-5.1989,-35.4608,301.56,61,86,5.59,BR,1731349124
248,san patricio,28.017,-97.5169,302.12,52,4,2.12,US,1731349125
249,al mutayrifi,25.4788,49.5576,298.34,52,4,1.79,SA,1731349126
250,san antonio de pale,-1.4014,5.6325,299.43,81,84,4.45,GQ,1731349127
251,harper,4.375,-7.7169,299.97,81,15,3.82,LR,1731349129
252,yantarnyy,54.8717,19.9381,276.75,62,44,2.03,RU,1731349130
253,ghat,24.9647,10.1728,295.95,22,30,2.17,LY,1731349131
254,jamestown,42.097,-79.2353,284.83,72,100,5.81,US,1731349133
255,conde,-7.2597,-34.9075,301.85,54,40,4.63,BR,1731349134
256,castillos,-34.1667,-53.8333,293.1,59,100,2.77,UY,1731349135
257,benoy-yurt,43.69,45.05,280.81,83,100,3.07,RU,1731349136
258,la punta,-33.1837,-66.3127,295.22,23,0,6.42,AR,1731349137
259,biloela,-24.4167,150.5,295.19,84,100,2.99,AU,1731349138
260,wenchang,30.904,118.4887,287.31,78,0,1.53,CN,1731349139
261,nanao,37.05,136.9667,287.9,83,84,1.48,JP,1731349140
262,kauhajoki,62.4333,22.1833,276.54,95,100,0.89,FI,1731349142
263,sola,-13.8833,167.55,299.68,74,68,8.42,VU,1731349143
264,daru,-9.0763,143.2092,299.6,87,100,5.52,PG,1731349144
265,tamanrasset,22.785,5.5228,294.1,21,0,3.09,DZ,1731349145
266,taquari,-29.7997,-51.8644,307.08,32,22,4.13,BR,1731349146
267,port macquarie,-31.4333,152.9167,291.52,99,100,0.89,AU,1731349147
268,mil'kovo,55.6078,37.7956,274.43,54,85,0.74,RU,1731349148
269,kangding,30.0513,101.9603,280.25,90,86,0.76,CN,1731349149
270,kiunga,-6.1219,141.2906,296.0,99,99,0.36,PG,1731349150
